mesh_id,descriptor_name,tree_number,parent_tree_number,parent_id,parent_name
D011678,Punishment,I01.880.630.716,I01,D012942,Social Sciences
D012572,School Health Services,N02.421.726.809,N02,D005159,Health Care Facilities Workforce and Services
D013287,Illicit Drugs,D26.878,D26,D004364,Pharmaceutical Preparations
D003049,Coccidiostats,D27.505.954.122.250.100.170,D27,D020164,Chemical Actions and Uses
D051304,Profilins,D05.750.078.730.637,D05,D046911,Macromolecular Substances
D051304,Profilins,D12.776.210.500.775,D12,D000602,"Amino Acids, Peptides, and Proteins"
D009531,Niceritrol,D03.066.515.540,D03,D006571,Heterocyclic Compounds
D004206,Disopyramide,D03.383.725.227,D03,D006571,Heterocyclic Compounds
D065609,Cytochrome P-450 CYP1A2 Inhibitors,D27.505.389.500.120,D27,D020164,Chemical Actions and Uses
D000099161,Kcnj11 Channel,D12.776.157.530.400.600.450.526,D12,D000602,"Amino Acids, Peptides, and Proteins"
D004686,Encephalomyocarditis virus,B04.820.578.688.005.002.001,B04,D014780,Viruses
D008625,Tiopronin,D02.886.030.896,D02,D009930,Organic Chemicals
D008625,Tiopronin,D12.125.166.896,D12,D000602,"Amino Acids, Peptides, and Proteins"
D054465,Peroxiredoxin VI,D08.811.277.352.100.680.750.937.300.500,D08,D045762,Enzymes and Coenzymes
D011459,"Prostaglandins E, Synthetic",D10.251.355.255.550.775.450,D10,D008055,Lipids
D011459,"Prostaglandins E, Synthetic",D23.469.050.175.725.775.450,D23,D001685,Biological Factors
D031210,Xanthium,B01.875.800.575.912.250.100.994,B01,D056890,Eukaryota
D011167,"Portacaval Shunt, Surgical",E04.035.760.755,E04,D013514,"Surgical Procedures, Operative"
D014330,Tropical Medicine,H02.403.879,H02,D006281,Health Occupations
D006136,GTP Cyclohydrolase,D08.811.277.151.300,D08,D045762,Enzymes and Coenzymes
D028381,Nidovirales,B04.820.578.500,B04,D014780,Viruses
D014575,Uroporphyrinogen Decarboxylase,D08.811.520.224.125.900,D08,D045762,Enzymes and Coenzymes
D000073739,Strobilurins,D02.241.081.069.600.575,D02,D009930,Organic Chemicals
D000104,Acetyl-CoA Hydrolase,D08.811.277.352.897.075,D08,D045762,Enzymes and Coenzymes
D015780,Carbapenems,D02.065.589.099.124,D02,D009930,Organic Chemicals
D015780,Carbapenems,D03.633.100.300.124,D03,D006571,Heterocyclic Compounds
D013847,Thiethylperazine,D02.886.369.780,D02,D009930,Organic Chemicals
D013847,Thiethylperazine,D03.383.606.880,D03,D006571,Heterocyclic Compounds
D000099099,Vestibular Migraine,C09.218.568.900.883.501,C09,D010038,Otorhinolaryngologic Diseases
D000099099,Vestibular Migraine,C10.228.140.546.399.750.726,C10,D009422,Nervous System Diseases
D005610,Freedom,I01.880.604.473.380,I01,D012942,Social Sciences
D005610,Freedom,N03.706.437.380,N03,D004472,Health Care Economics and Organizations
D020889,Rolipram,D03.383.773.812.785,D03,D006571,Heterocyclic Compounds
D018817,"N-Methyl-3,4-methylenedioxyamphetamine",D02.092.471.683.152.670,D02,D009930,Organic Chemicals
D057667,Conducted Energy Weapon Injuries,C26.324.436,C26,D014947,Wounds and Injuries
D032263,Penstemon,B01.875.800.575.912.250.583.700.680,B01,D056890,Eukaryota
D006252,Hate,F01.470.548,F01,D001520,Behavior and Behavior Mechanisms
D051657,KCNQ1 Potassium Channel,D12.776.157.530.400.600.900.124.249.500,D12,D000602,"Amino Acids, Peptides, and Proteins"
D055512,Tertiary Prevention,E02.919,E02,D013812,Therapeutics
D055512,Tertiary Prevention,N02.421.726.860,N02,D005159,Health Care Facilities Workforce and Services
D055512,Tertiary Prevention,N06.850.780.800,N06,D004778,Environment and Public Health
D019586,Intracranial Hypertension,C10.228.140.631,C10,D009422,Nervous System Diseases
D052120,Glycogen Storage Disease Type IIb,C10.597.606.360.455.562,C10,D009422,Nervous System Diseases
D052120,Glycogen Storage Disease Type IIb,C14.280.238.458,C14,D002318,Cardiovascular Diseases
D052120,Glycogen Storage Disease Type IIb,C16.320.322.201,C16,D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D052120,Glycogen Storage Disease Type IIb,C18.452.648.202.449.510,C18,D009750,Nutritional and Metabolic Diseases
D014230,Triazoles,D03.383.129.799,D03,D006571,Heterocyclic Compounds
D011752,Pyroglutamate Hydrolase,D08.811.277.087.760,D08,D045762,Enzymes and Coenzymes
D000512,Alpha Particles,G01.750.750.055,G01,D055585,Physical Phenomena
D012946,Social Welfare,I01.880.787,I01,D012942,Social Sciences
D003295,Convulsive Therapy,F04.570.200,F04,D004191,Behavioral Disciplines and Activities
D020109,Devazepide,D03.633.100.079.080.070.200,D03,D006571,Heterocyclic Compounds
D000073978,Academic Performance,I02.399.136,I02,D004493,Education
D014812,Vitamin K,D02.455.426.559.847.638.721.374,D02,D009930,Organic Chemicals
D014812,Vitamin K,D04.615.638.721.374,D04,D011083,Polycyclic Compounds
D011781,Quackery,I01.880.735.728,I01,D012942,Social Sciences
D006611,High-Frequency Jet Ventilation,E02.041.625.508.510,E02,D013812,Therapeutics
D011342,Procainamide,D02.065.277.650,D02,D009930,Organic Chemicals
D001893,Borneo,Z01.252.145.103,Z01,D005842,Geographic Locations
D003306,Coproporphyrins,D03.383.129.578.840.500.250,D03,D006571,Heterocyclic Compounds
D003306,Coproporphyrins,D04.345.783.500.250,D04,D011083,Polycyclic Compounds
D003306,Coproporphyrins,D23.767.727.250,D23,D001685,Biological Factors
D000069503,Vilazodone Hydrochloride,D03.383.606.980,D03,D006571,Heterocyclic Compounds
D024505,Tocopherols,D03.383.663.283.909.750,D03,D006571,Heterocyclic Compounds
D009570,Nitriles,D02.626,D02,D009930,Organic Chemicals
D000069472,Colesevelam Hydrochloride,D02.092.050.500,D02,D009930,Organic Chemicals
D015837,Vestibular Diseases,C09.218.568.900,C09,D010038,Otorhinolaryngologic Diseases
D012772,"Shock, Septic",C01.757.800,C01,D007239,Infections
D012772,"Shock, Septic",C23.550.470.790.500.800,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D054659,Diketopiperazines,D03.383.606.385,D03,D006571,Heterocyclic Compounds
D000091002,Economic Stability,I01.880.853.996.134.500,I01,D012942,Social Sciences
D039681,Pyranocoumarins,D03.383.663.283.446.853,D03,D006571,Heterocyclic Compounds
D044926,Butyryl-CoA Dehydrogenase,D08.811.682.660.150.300,D08,D045762,Enzymes and Coenzymes
D044926,Butyryl-CoA Dehydrogenase,D12.776.331.174,D12,D000602,"Amino Acids, Peptides, and Proteins"
D001693,"Biological Transport, Active",G03.143.310,G03,D008660,Metabolism
D060739,Phonons,G01.249.675,G01,D055585,Physical Phenomena
D009702,Nucleoside Diphosphate Sugars,D09.408.620.569,D09,D002241,Carbohydrates
D009702,Nucleoside Diphosphate Sugars,D13.695.201.486,D13,D009706,"Nucleic Acids, Nucleotides, and Nucleosides"
D064451,Hepcidins,D12.776.494.249,D12,D000602,"Amino Acids, Peptides, and Proteins"
D017478,"Receptors, Phencyclidine",D12.776.827.550,D12,D000602,"Amino Acids, Peptides, and Proteins"
D024462,Myosin Type II,D05.750.078.730.475.475,D05,D046911,Macromolecular Substances
D024462,Myosin Type II,D08.811.277.040.025.193.750.750,D08,D045762,Enzymes and Coenzymes
D024462,Myosin Type II,D12.776.210.500.600.470,D12,D000602,"Amino Acids, Peptides, and Proteins"
D000078402,Gun Violence,I01.198.240.856.519,I01,D012942,Social Sciences
D000998,Antiviral Agents,D27.505.954.122.388,D27,D020164,Chemical Actions and Uses
D000077727,Ertapenem,D02.065.589.099.124.225,D02,D009930,Organic Chemicals
D000077727,Ertapenem,D03.633.100.300.124.225,D03,D006571,Heterocyclic Compounds
D000588,Amines,D02.092,D02,D009930,Organic Chemicals
D000326,Adrenoleukodystrophy,C10.228.140.163.100.084,C10,D009422,Nervous System Diseases
D000326,Adrenoleukodystrophy,C16.320.322.500.124,C16,D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D000326,Adrenoleukodystrophy,C18.452.132.100.084,C18,D009750,Nutritional and Metabolic Diseases
D000326,Adrenoleukodystrophy,C19.053.500.270,C19,D004700,Endocrine System Diseases
D051960,"GTP-Binding Protein alpha Subunit, Gi2",D08.811.277.040.330.300.200.100.200.500,D08,D045762,Enzymes and Coenzymes
D051960,"GTP-Binding Protein alpha Subunit, Gi2",D12.776.157.325.332.100.200.500,D12,D000602,"Amino Acids, Peptides, and Proteins"
D020377,Self Efficacy,F01.752.747.792.700,F01,D001520,Behavior and Behavior Mechanisms
D020837,SOS1 Protein,D12.644.360.325.300.700.700.630,D12,D000602,"Amino Acids, Peptides, and Proteins"
D002161,"Camelids, New World",B01.050.150.900.649.313.500.190.090,B01,D056890,Eukaryota
D056648,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,C14.907.940.897.249,C14,D002318,Cardiovascular Diseases
D056648,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,C17.800.862.105,C17,D017437,Skin and Connective Tissue Diseases
D056648,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,C20.111.193,C20,D007154,Immune System Diseases
D011744,Pyrimidinones,D03.383.742.698,D03,D006571,Heterocyclic Compounds
D052556,"Niemann-Pick Disease, Type C",C10.228.140.163.100.435.825.700.875,C10,D009422,Nervous System Diseases
D052556,"Niemann-Pick Disease, Type C",C15.604.250.410.625.875,C15,D006425,Hemic and Lymphatic Diseases
D052556,"Niemann-Pick Disease, Type C",C16.320.565.189.435.825.700.875,C16,D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D052556,"Niemann-Pick Disease, Type C",C18.452.132.100.435.825.700.875,C18,D009750,Nutritional and Metabolic Diseases
D015632,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",D03.383.725.450,D03,D006571,Heterocyclic Compounds
D009309,"National Center for Health Statistics, U.S.",I01.409.418.750.600.650.200.260,I01,D012942,Social Sciences
D009309,"National Center for Health Statistics, U.S.",N03.540.348.500.500.600.650.225.260,N03,D004472,Health Care Economics and Organizations
D063325,Tiapride Hydrochloride,D02.092.471.869,D02,D009930,Organic Chemicals
D014578,Uroporphyrins,D03.383.129.578.840.500.880,D03,D006571,Heterocyclic Compounds
D014578,Uroporphyrins,D04.345.783.500.880,D04,D011083,Polycyclic Compounds
D014578,Uroporphyrins,D23.767.727.880,D23,D001685,Biological Factors
D000080485,Sudden Unexpected Death in Epilepsy,C10.228.140.490.746,C10,D009422,Nervous System Diseases
